"ProgramName","DisplayVersion"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X64 Base Resource Package","14.0.24245"
"Visual C++ MSBuild X64 Package","14.0.24245"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148"
"Visual C++ Compiler/Tools Premium X64 ARM Cross Package","14.0.24245"
"Windows SDK for Windows Store Apps Libs","10.1.19041.685"
"Universal CRT Extension SDK","10.0.26624"
"Windows SDK ARM Desktop Tools","10.1.18362.1"
"Windows SDK Modern Versioned Developer Tools","10.1.18362.1"
"WinRT Intellisense IoT - Other Languages","10.1.19041.685"
"Windows SDK for Windows Store Apps Libs","10.1.18362.1"
"Windows SDK Desktop Libs x86","10.1.18362.1"
"Microsoft Windows Desktop Runtime - 3.1.16 (x86)","24.64.30112"
"Microsoft Exchange Web Services Managed API 2.1","15.0.847.30"
"WinRT Intellisense UAP - Other Languages","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package","14.0.24245"
"sptools_Microsoft.VisualStudio.OfficeDeveloperTools.Msi","16.0.29931"
"Microsoft .NET Host FX Resolver - 5.0.7 (x86)","40.28.30105"
"Windows App Certification Kit SupportedApiList x86","10.1.19041.685"
"vs_clickoncebootstrappermsires","16.0.28329"
"Visual C++ Compiler/Tools X86 Base Resource Package","14.0.24245"
"Visual C++ MSBuild Base Resource Package","14.0.24245"
"vs_vswebprotocolselectormsires","16.10.31206"
"Windows SDK for Windows Store Apps Contracts","10.1.19041.685"
"Visual C++ Library CRT Redist Resource Package","14.0.24245"
"Visual C++ Compiler/Tools Premium X86 Native Package","14.0.24245"
"Windows SDK Desktop Libs arm","10.1.19041.685"
"WinAppDeploy","10.1.19041.685"
"Obj. de Gerenciamento de An?lise do Microsoft SQL Server 2014 ","12.2.5000.0"
"Microsoft .NET Framework 4.6 Targeting Pack","4.6.00081"
"Windows SDK for Windows Store Apps Metadata","10.1.19041.685"
"Windows SDK Facade Windows WinMD Versioned","10.1.19041.685"
"Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package","14.0.24245"
"Windows SDK Desktop Tools arm64","10.1.18362.1"
"Visual C++ Compiler/Tools Premium ARM Base Resource Package","14.0.24245"
"vs_communitymsires","16.10.31213"
"Windows Mobile Extension SDK","10.1.18362.1"
"vs_clickoncesigntoolmsi","16.0.28329"
"Windows SDK DirectX x86 Remote","10.1.19041.685"
"WinRT Intellisense IoT - en-us","10.1.19041.685"
"Microsoft .NET Runtime - 5.0.7 (x86)","40.28.30105"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0"
"Visual C++ Library CRT ARM Desktop Package","14.0.24245"
"Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30139","14.29.30139"
"Visual C++ Compiler/Tools Premium X86 Native Resource Package","14.0.24245"
"WinRT Intellisense IoT - en-us","10.1.18362.1"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.32.31332","14.32.31332.0"
"vs_communitymsires","16.10.31213"
"Microsoft SQL Server 2014 Management Objects ","12.2.5000.0"
"Citrix WorkSpace Browser","21.6.0.3"
"icecap_collectionresourcesx64","16.10.31306"
"Teams Machine-Wide Installer","1.3.0.28779"
"Windows Desktop Extension SDK Contracts","10.1.18362.1"
"Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package","14.0.24245"
"Visual C++ MSBuild X86 Package","14.0.24245"
"Visual C++ Compiler/Tools X86 X64 Cross Resource Package","14.0.24245"
"Visual C++ MSBuild ARM Package","14.0.24245"
"Windows IoT Extension SDK Contracts","10.1.18362.1"
"sptools_Microsoft.VisualStudio.Vsto.Msi.Resources","16.0.28030"
