"Name","DisplayName","State","StartMode","PathName","ServiceType"
"NdisVirtualBus","Enumerador de Adaptador de Rede Virtual Microsoft","Running","Manual","C:\WINDOWS\system32\drivers\NdisVirtualBus.sys","Kernel Driver"
"tbimdsa","Trend Micro LightWeight Filter Driver","Running","System","C:\WINDOWS\system32\DRIVERS\tbimdsa.sys","Kernel Driver"
"Tcpip","Driver de Protocolo TCP/IP","Running","Boot","C:\WINDOWS\system32\drivers\tcpip.sys","Kernel Driver"
"NdisWan","Driver WAN NDIS de acesso remoto","Running","Manual","C:\WINDOWS\system32\drivers\ndiswan.sys","Kernel Driver"
"Mup","Mup","Running","Boot","C:\WINDOWS\system32\Drivers\mup.sys","File System Driver"
"terminpt","Driver de Entrada de ?rea de Trabalho Remota da Microsoft","Running","Manual","C:\WINDOWS\system32\drivers\terminpt.sys","Kernel Driver"
"tmactmon","tmactmon","Running","Auto","C:\WINDOWS\system32\DRIVERS\tmactmon.sys","Kernel Driver"
"Telemetry","Servi?o de Telemetria Intel(R)","Running","Boot","C:\WINDOWS\system32\drivers\IntelTA.sys","Kernel Driver"
"NDIS","Driver do Sistema NDIS","Running","Boot","C:\WINDOWS\system32\drivers\ndis.sys","Kernel Driver"
"tcpipreg","TCP/IP Registry Compatibility","Running","Auto","C:\WINDOWS\system32\drivers\tcpipreg.sys","Kernel Driver"
"tdx","Driver de Suporte a TDI Herdado de NetIO","Running","System","C:\WINDOWS\system32\DRIVERS\tdx.sys","Kernel Driver"
"Ntfs","Ntfs","Running","Manual","C:\WINDOWS\system32\drivers\Ntfs.sys","File System Driver"
"nsiproxy","NSI Proxy Service Driver","Running","System","C:\WINDOWS\system32\drivers\nsiproxy.sys","Kernel Driver"
"npsvctrig","Named pipe service trigger provider","Running","System","C:\WINDOWS\system32\drivers\npsvctrig.sys","Kernel Driver"
"Null","Null","Running","System","C:\WINDOWS\system32\drivers\Null.sys","Kernel Driver"
"storqosflt","Driver do Filtro QoS de Armazenamento","Running","Auto","C:\WINDOWS\system32\drivers\storqosflt.sys","File System Driver"
"nvlddmkm","nvlddmkm","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\nv_dispi.inf_amd64_b654cf20e2b8e7c4\nvlddmkm.sys","Kernel Driver"
"NVHDA","Service for NVIDIA High Definition Audio Driver","Running","Manual","C:\WINDOWS\system32\drivers\nvhda64v.sys","Kernel Driver"
"Synth3dVsp","Synth3dVsp","Running","Manual","C:\WINDOWS\system32\drivers\Synth3dVsp.sys","Kernel Driver"
"Ndu","Windows Network Data Usage Monitoring Driver","Running","Auto","C:\WINDOWS\system32\drivers\Ndu.sys","Kernel Driver"
"ndproxy","NDIS Proxy Driver","Running","Manual","C:\WINDOWS\system32\DRIVERS\NDProxy.sys","Kernel Driver"
"NetBT","NetBT","Running","System","C:\WINDOWS\system32\DRIVERS\netbt.sys","Kernel Driver"
"Npfs","Npfs","Running","System","C:\WINDOWS\system32\drivers\Npfs.sys","File System Driver"
"storvsp","storvsp","Running","Manual","C:\WINDOWS\system32\drivers\storvsp.sys","Kernel Driver"
"swenum","Software Bus Driver","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys","Kernel Driver"
"CompositeBus","Driver Enumerador de Barramento de Composi??o","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys","Kernel Driver"
"vpcivsp","Servidor PCI do Microsoft Hyper-V","Running","Manual","C:\WINDOWS\system32\drivers\vpcivsp.sys","Kernel Driver"
"CNG","CNG","Running","Boot","C:\WINDOWS\system32\Drivers\cng.sys","Kernel Driver"
"condrv","Console Driver","Running","Manual","C:\WINDOWS\system32\drivers\condrv.sys","Kernel Driver"
"CyUcmClient_Device","Servi?o do Cliente Perif?rico UCM Cypress","Running","Manual","C:\WINDOWS\system32\drivers\CyUcmClient.sys","Kernel Driver"
"ctxusbm","Citrix USB Monitor Driver","Running","Auto","C:\WINDOWS\system32\DRIVERS\ctxusbmon.sys","Kernel Driver"
"CSC","Driver de Arquivos Offline","Running","System","C:\WINDOWS\system32\drivers\csc.sys","Kernel Driver"
"cdrom","Driver de CD-ROM","Running","System","C:\WINDOWS\system32\drivers\cdrom.sys","Kernel Driver"
"vwififlt","Virtual WiFi Filter Driver","Running","System","C:\WINDOWS\system32\drivers\vwififlt.sys","Kernel Driver"
"wanarp","Driver ARP IP de acesso remoto","Running","Auto","C:\WINDOWS\system32\DRIVERS\wanarp.sys","Kernel Driver"
"CimFS","CimFS","Running","System","C:\WINDOWS\system32\drivers\CimFS.sys","File System Driver"
"CLFS","Common Log (CLFS)","Running","Boot","C:\WINDOWS\system32\drivers\CLFS.sys","Kernel Driver"
"CldFlt","Windows Cloud Files Filter Driver","Running","Auto","C:\WINDOWS\system32\drivers\cldflt.sys","File System Driver"
"VSApiNt","Trend Micro VSAPI NT","Running","Auto","\??\C:\Program Files (x86)\Trend Micro\OfficeScan Client\VSApiNt.sys","Kernel Driver"
"volmgr","Driver de Gerenciador de Volumes","Running","Boot","C:\WINDOWS\system32\drivers\volmgr.sys","Kernel Driver"
"EhStorClass","Enhanced Storage Filter Driver","Running","Boot","C:\WINDOWS\system32\drivers\EhStorClass.sys","Kernel Driver"
"volmgrx","Gerenciador de Volume Din?mico","Running","Boot","C:\WINDOWS\system32\drivers\volmgrx.sys","Kernel Driver"
"fastfat","FAT12/16/32 File System Driver","Running","Manual","C:\WINDOWS\system32\drivers\fastfat.sys","File System Driver"
"FileInfo","File Information FS MiniFilter","Running","Boot","C:\WINDOWS\system32\drivers\fileinfo.sys","File System Driver"
"FileCrypt","FileCrypt","Running","System","C:\WINDOWS\system32\drivers\filecrypt.sys","File System Driver"
"VmsProxy","VmSwitch Proxy Driver","Running","Boot","C:\WINDOWS\system32\drivers\VmsProxy.sys","Kernel Driver"
"disk","Driver de disco","Running","Boot","C:\WINDOWS\system32\drivers\disk.sys","Kernel Driver"
"Dfsc","Driver de Cliente para Namespaces de DFS","Running","System","C:\WINDOWS\system32\Drivers\dfsc.sys","File System Driver"
"DBUtilDrv2","DBUtilDrv2 Service","Running","Manual","C:\WINDOWS\system32\drivers\DBUtilDrv2.sys","Kernel Driver"
"volume","Driver do volume","Running","Boot","C:\WINDOWS\system32\drivers\volume.sys","Kernel Driver"
"e1dexpress","Intel(R) PRO/1000 PCI Express Network Connection Driver D","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\e1d68x64.inf_amd64_77f27cab0778c241\e1d68x64.sys","Kernel Driver"
"DXGKrnl","LDDM Graphics Subsystem","Running","System","C:\WINDOWS\system32\drivers\dxgkrnl.sys","Kernel Driver"
"volsnap","Driver de C?pia de Sombra de Volume","Running","Boot","C:\WINDOWS\system32\drivers\volsnap.sys","Kernel Driver"
"wcifs","Windows Container Isolation","Running","Auto","C:\WINDOWS\system32\drivers\wcifs.sys","File System Driver"
"afunix","afunix","Running","System","C:\WINDOWS\system32\drivers\afunix.sys","Kernel Driver"
"AFD","Ancillary Function Driver for Winsock","Running","System","C:\WINDOWS\system32\drivers\afd.sys","Kernel Driver"
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Running","Manual","C:\WINDOWS\system32\drivers\WUDFRd.sys","Kernel Driver"
"ahcache","Application Compatibility Cache","Running","System","C:\WINDOWS\system32\DRIVERS\ahcache.sys","Kernel Driver"
"Wof","Windows Overlay File System Filter Driver","Running","Boot","C:\WINDOWS\system32\drivers\Wof.sys","File System Driver"
"WpdUpFltr","WPD Upper Class Filter Driver","Running","Manual","C:\WINDOWS\system32\drivers\WpdUpFltr.sys","Kernel Driver"
"wsddntf","Topaz OFD Network Monitor","Running","System","C:\WINDOWS\system32\DRIVERS\wsddntf.sys","Kernel Driver"
"acpiex","Microsoft ACPIEx Driver","Running","Boot","C:\WINDOWS\system32\Drivers\acpiex.sys","Kernel Driver"
"ACPI","Microsoft ACPI Driver","Running","Boot","C:\WINDOWS\system32\drivers\ACPI.sys","Kernel Driver"
"NetBIOS","NetBIOS Interface","Running","System","C:\WINDOWS\system32\drivers\netbios.sys","File System Driver"
"acpipagr","Driver do Agregador do Processador ACPI","Running","Manual","C:\WINDOWS\system32\drivers\acpipagr.sys","Kernel Driver"
"acsock","acsock","Running","Manual","C:\WINDOWS\system32\DRIVERS\acsock64.sys","Kernel Driver"
"WUDFWpdFs","Driver do Sistema de Arquivos WPD","Running","Manual","C:\WINDOWS\system32\DRIVERS\WUDFRd.sys","Kernel Driver"
"WUDFWpdMtp","WUDFWpdMtp","Running","Manual","C:\WINDOWS\system32\DRIVERS\WUDFRd.sys","Kernel Driver"
"BasicRender","BasicRender","Running","System","C:\WINDOWS\system32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys","Kernel Driver"
"BasicDisplay","BasicDisplay","Running","System","C:\WINDOWS\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys","Kernel Driver"
"bam","Background Activity Moderator Driver","Running","System","C:\WINDOWS\system32\drivers\bam.sys","Kernel Driver"
"Beep","Beep","Running","System","C:\WINDOWS\system32\drivers\Beep.sys","Kernel Driver"
"Wdf01000","Servi?o de Estruturas de Driver em Modo Kernel","Running","Boot","C:\WINDOWS\system32\drivers\Wdf01000.sys","Kernel Driver"
"bowser","Navegador","Running","Manual","C:\WINDOWS\system32\DRIVERS\bowser.sys","File System Driver"
"bindflt","Windows Bind Filter Driver","Running","Auto","C:\WINDOWS\system32\drivers\bindflt.sys","File System Driver"
"WINUSB","Driver WinUsb","Running","Manual","C:\WINDOWS\system32\drivers\WinUSB.SYS","Kernel Driver"
"AppleLowerFilter","Apple Lower Filter Driver","Running","Manual","C:\WINDOWS\system32\drivers\AppleLowerFilter.sys","Kernel Driver"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Running","Manual","C:\WINDOWS\system32\drivers\wmiacpi.sys","Kernel Driver"
"WinNat","Driver NAT do Windows","Running","Manual","C:\WINDOWS\system32\drivers\winnat.sys","Kernel Driver"
"WFPLWFS","Plataforma para Filtros do Microsoft Windows","Running","Boot","C:\WINDOWS\system32\drivers\wfplwfs.sys","Kernel Driver"
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Running","Boot","C:\WINDOWS\system32\drivers\WindowsTrustedRT.sys","Kernel Driver"
"WindowsTrustedRTProxy","Servi?o de Prote??o de Tempo de Execu??o Confi?vel do Microsoft Windows","Running","Boot","C:\WINDOWS\system32\drivers\WindowsTrustedRTProxy.sys","Kernel Driver"
"VMSP","VmSwitch Protocol Driver","Running","Auto","C:\WINDOWS\system32\drivers\vmswitch.sys","Kernel Driver"
"vhdmp","vhdmp","Running","Manual","C:\WINDOWS\system32\drivers\vhdmp.sys","Kernel Driver"
"HidUsb","Driver de classe HID da Microsoft","Running","Manual","C:\WINDOWS\system32\drivers\hidusb.sys","Kernel Driver"
"HTTP","Servi?o HTTP","Running","Manual","C:\WINDOWS\system32\drivers\HTTP.sys","Kernel Driver"
"VfpExt","Microsoft Azure VFP Switch Extension","Running","System","C:\WINDOWS\system32\drivers\vfpext.sys","Kernel Driver"
"vhdparser","vhdparser","Running","Manual","C:\WINDOWS\system32\drivers\vhdparser.sys","Kernel Driver"
"HDAudBus","Driver de Barramento Microsoft UAA para High Definition Audio","Running","Manual","C:\WINDOWS\system32\drivers\HDAudBus.sys","Kernel Driver"
"GpuEnergyDrv","GPU Energy Driver","Running","System","C:\WINDOWS\system32\drivers\gpuenergydrv.sys","Kernel Driver"
"Vid","Vid","Running","System","C:\WINDOWS\system32\drivers\Vid.sys","Kernel Driver"
"vmbusr","Provedor de Barramento da M?quina Virtual","Running","Manual","C:\WINDOWS\system32\drivers\vmbusr.sys","Kernel Driver"
"VBoxNetAdp","VirtualBox NDIS 6.0 Miniport Service","Running","Manual","C:\WINDOWS\system32\drivers\VBoxNetAdp6.sys","Kernel Driver"
"VBoxNetLwf","VirtualBox NDIS6 Bridged Networking Service","Running","System","C:\WINDOWS\system32\DRIVERS\VBoxNetLwf.sys","Kernel Driver"
"USBXHCI","Controlador Host Compat?vel com USB xHCI","Running","Manual","C:\WINDOWS\system32\drivers\USBXHCI.SYS","Kernel Driver"
"vbdenum","Citrix Virtual Bus Enumerator","Running","System","C:\WINDOWS\system32\drivers\vbdenum.sys","Kernel Driver"
"VBoxSup","VirtualBox Service","Running","System","C:\WINDOWS\system32\DRIVERS\VBoxSup.sys","Kernel Driver"
"hvsocketcontrol","hvsocketcontrol","Running","Manual","C:\WINDOWS\system32\drivers\hvsocketcontrol.sys","Kernel Driver"
"hvservice","Hypervisor/Virtual Machine Support Driver","Running","Manual","C:\WINDOWS\system32\drivers\hvservice.sys","Kernel Driver"
"VBoxUSBMon","VirtualBox USB Monitor Service","Running","System","C:\WINDOWS\system32\DRIVERS\VBoxUSBMon.sys","Kernel Driver"
"vdrvroot","Enumerador de Unidade Virtual Microsoft","Running","Boot","C:\WINDOWS\system32\drivers\vdrvroot.sys","Kernel Driver"
