"Name","DisplayName","State","StartMode","PathName"
"UIFlowAgentLauncherService","Power Automate agent launcher service","Running","Auto","""C:\Program Files (x86)\Power Automate Desktop\Microsoft.Flow.RPA.LauncherService.exe"""
"RpcEptMapper","Mapeador de Ponto de Extremidade RPC","Running","Auto","C:\WINDOWS\system32\svchost.exe -k RPCSS -p"
"UmRdpService","Redirecionador de Portas do Modo do Usu?rio dos Servi?os de ?rea de Trabalho","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"ProfSvc","Servi?o de Perfil de Usu?rio","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"UserManager","Gerenciador de Usu?rios","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"UIFlowService","Power Automate service","Running","Auto","""C:\Program Files (x86)\Power Automate Desktop\UIFlowService.exe"""
"RasMan","Gerenciador de conex?o de acesso remoto","Running","Auto","C:\WINDOWS\System32\svchost.exe -k netsvcs"
"UIFlowUpdateService","Power Automate update service","Running","Auto","""C:\Program Files (x86)\Power Automate Desktop\Microsoft.Flow.RPA.UpdateService.exe"""
"SENS","Servi?o de Notifica??o de Eventos do Sistema","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"TrkWks","Cliente de rastreamento de link distribu?do","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SecurityHealthService","Servi?o de Seguran?a do Windows","Running","Manual","C:\WINDOWS\system32\SecurityHealthService.exe"
"TRCTARGET","IBM BigFix Remote Control - Target","Running","Auto","""C:\Program Files (x86)\IBM\Tivoli\Remote Control\Target\trc_base.exe"" -s"
"Trend Micro Endpoint Basecamp","Trend Micro Endpoint Basecamp","Running","Auto","""C:\\Program Files (x86)\\Trend Micro\\Endpoint Basecamp\\EndpointBasecamp.exe"" /service"
"Trend Micro Web Service Communicator","Trend Micro Web Service Communicator","Running","Auto","""C:\\Program Files (x86)\\Trend Micro\\Endpoint Basecamp\\modules\\wsc\\WSCommunicator.exe"" /service"
"Schedule","Agendador de Tarefas","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"SamSs","Gerente de Contas de Seguran?a","Running","Auto","C:\WINDOWS\system32\lsass.exe"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Auto","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_18c775e07a6aaafd\RtkAudUService64.exe"""
"seclogon","Logon secund?rio","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"TrustedInstaller","Instalador de M?dulos do Windows","Running","Manual","C:\WINDOWS\servicing\TrustedInstaller.exe"
"scpbradserv","Componente de Seguran?a Bradesco","Running","Auto","""C:\Program Files (x86)\scpbrad\scpbradserv.exe"""
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running","Auto","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_e67d3946e6cd0335\igfxCUIService.exe"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Auto","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b33450aec57de6f7\IntelCpHDCPSvc.exe"
"cphs","Intel(R) Content Protection HECI Service","Running","Manual","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b33450aec57de6f7\IntelCpHeciSvc.exe"
"CryptSvc","Servi?os de criptografia","Running","Auto","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","Inicializador do Processo de Servidor DCOM","Running","Auto","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"CWAUpdaterService","Citrix Workspace Updater Service","Running","Auto","""C:\Program Files (x86)\Citrix\ICA Client\Receiver\UpdaterService.exe"""
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CloudEndpointService","Cloud Endpoint Service","Running","Auto","""C:\Program Files\Trend Micro\Cloud Endpoint\CloudEndpointService.exe"" --service --env=""prod"" --region=""us1"" --tid=""619e1ad3-88fd-4b03-9652-40328fa28791"" --xid=""c9ba0f06-1af0-4578-82e1-ae7e2b709ace"""
"CaptureService_371894","CaptureService_371894","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"CmRcService","Controle Remoto do Configuration Manager","Running","Auto","C:\windows\CCM\RemCtrl\CmRcService.exe"
"COMSysApp","COM+ System Application","Running","Manual","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"com.docker.service","Docker Desktop Service","Running","Auto","""C:\Program Files\Docker\Docker\com.docker.service"""
"DeviceAssociationService","Servi?o de Associa??o de Dispositivo","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WpnService","Servi?o do Sistema de Notifica??es por Push do Windows","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"wscsvc","Central de Seguran?a","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Dnscache","Cliente DNS","Running","Auto","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"DPS","Servi?o de Pol?tica de Diagn?stico","Running","Auto","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
